dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,6q_4l_2t,1,1,6,2,0.2,0.019067164300121137,0.01695722289928787,11.065837413588875,0.018957942152927745,0.01606606013428387,15.25419792568189,0.374470922167624,2025-09-14 14:45:39,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,6q_4l_2t,2,1,6,2,0.2,0.019067164300121137,0.01663530458496973,12.754176115931193,0.018957942152927745,0.016190600248911682,14.597269480478358,0.389662417194996,2025-09-14 14:45:40,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,6q_4l_2t,3,1,6,2,0.2,0.019067164300121137,0.018416247404248215,3.413810704241882,0.018957942152927745,0.017716952201270206,6.54601613216701,0.3781480870874385,2025-09-14 14:45:41,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,6q_4l_2t,4,1,6,2,0.2,0.019067164300121137,0.017563321210852845,7.887083079568036,0.018957942152927745,0.016711966374681246,11.847149654371346,0.37432887924061475,2025-09-14 14:45:42,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,6q_4l_2t,5,1,6,2,0.2,0.019067164300121137,0.023137733110645358,-21.348579927526814,0.018957942152927745,0.022290317992127183,-17.577729757366136,0.3954151207402394,2025-09-14 14:45:42,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,6q_4l_2t,1,3,6,2,0.2,0.019067164300121137,0.013672296934389828,28.29402044695778,0.018957942152927745,0.014594223151903212,23.017893850628866,0.15761524720909545,2025-09-14 14:45:44,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,6q_4l_2t,2,3,6,2,0.2,0.019067164300121137,0.015604414395989563,18.160801730279186,0.018957942152927745,0.01550115364339959,18.23398595503315,0.15563306333029256,2025-09-14 14:45:47,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,6q_4l_2t,3,3,6,2,0.2,0.019067164300121137,0.0148322689824852,22.210409744090953,0.018957942152927745,0.015887323536167085,16.19700383085331,0.1506212568994843,2025-09-14 14:45:49,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,6q_4l_2t,4,3,6,2,0.2,0.019067164300121137,0.013293569173138649,30.280303017821097,0.018957942152927745,0.01373408898362092,27.554958904123914,0.14630537776976815,2025-09-14 14:45:52,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,6q_4l_2t,5,3,6,2,0.2,0.019067164300121137,0.01313157141215881,31.129919449661514,0.018957942152927745,0.01455407513255983,23.22966799267192,0.16588867482201694,2025-09-14 14:45:54,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst05_L3.json
