layer,runs,mse_test_noise_mean,mse_test_recovered_mean,delta_test_pct_mean
1,5,0.0189579421529277,0.02712296081818604,-43.06911899716598
3,5,0.0189579421529277,0.024038442146703278,-26.798794683477844
