n_layers,runs,noisy_baseline_mse (mean±std),best_val_mse (mean±std),final_val_mse (mean±std),best_delta_pct (mean±std),final_delta_pct (mean±std)
1,5,0.001181 ± 0.000000,0.004871 ± 0.000236,0.005654 ± 0.000335,-312.388421 ± 19.949229,-378.691908 ± 28.349566
3,5,0.001181 ± 0.000000,0.001972 ± 0.000252,0.016283 ± 0.027786,-66.964985 ± 21.365277,-1278.478231 ± 2352.338471
