dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,6q_2l_4t,1,1,6,2,0.2,0.019067164300121137,0.024558342697479713,-28.799135051894886,0.01895794215292774,0.024380584761081774,-28.603540217663337,0.36979925642260003,2025-09-14 16:39:51,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,6q_2l_4t,2,1,6,2,0.2,0.019067164300121137,0.02718732856443539,-42.587162603212406,0.01895794215292774,0.026433557628429617,-39.43263153352008,0.38061853579937693,2025-09-14 16:39:53,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,6q_2l_4t,3,1,6,2,0.2,0.019067164300121137,0.021990978568720353,-15.334290000221173,0.01895794215292774,0.01944017947797792,-2.5437218932314654,0.3333043462904522,2025-09-14 16:39:54,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,6q_2l_4t,4,1,6,2,0.2,0.019067164300121137,0.026688688250718497,-39.97198445785113,0.01895794215292774,0.026708329855632238,-40.88200945115543,0.3707746306198723,2025-09-14 16:39:55,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,6q_2l_4t,5,1,6,2,0.2,0.019067164300121137,0.022877062397501157,-19.98146151893081,0.01895794215292774,0.02128770912183547,-12.289134285326098,0.3485792664850285,2025-09-14 16:39:56,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,6q_2l_4t,1,3,6,2,0.2,0.019067164300121137,0.022220537915904573,-16.53824116763605,0.01895794215292774,0.02073404714594405,-9.368659207254847,0.29156497553195904,2025-09-14 16:39:58,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,6q_2l_4t,2,3,6,2,0.2,0.019067164300121137,0.020495668052868333,-7.491957011867356,0.01895794215292774,0.01868455928035437,1.4420493024404957,0.26404294272730755,2025-09-14 16:40:01,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,6q_2l_4t,3,3,6,2,0.2,0.019067164300121137,0.02436885179618291,-27.805327591518637,0.01895794215292774,0.023390964826588923,-23.38345922728,0.22213747220715183,2025-09-14 16:40:03,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,6q_2l_4t,4,3,6,2,0.2,0.019067164300121137,0.019290950327524824,-1.173672308484086,0.01895794215292774,0.017412141427309527,8.153842400977517,0.20050205893713,2025-09-14 16:40:06,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,6q_2l_4t,5,3,6,2,0.2,0.019067164300121137,0.02371946126835008,-24.399522105127012,0.01895794215292774,0.022179360597838444,-16.99244790876846,0.2803350594621355,2025-09-14 16:40:09,qae_runs/mackey_glass_tau30_n200/6q_2l_4t/L3/bundle_inst05_L3.json
