dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,4q_3l_1t,1,1,4,2,0.2,0.0192680698674855,0.0111849534261201,41.950836264121584,0.0189579421529277,0.0081819973903272,56.84132104462808,0.0117856125800263,2025-09-16 13:41:43,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,4q_3l_1t,2,1,4,2,0.2,0.0192680698674855,0.0111846630190643,41.95234345740984,0.0189579421529277,0.008110326859121,57.21937120760483,0.0117680972682169,2025-09-16 13:49:00,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,4q_3l_1t,3,1,4,2,0.2,0.0192680698674855,0.0111928290736586,41.90996217765297,0.0189579421529277,0.0081814447050029,56.8442363680307,0.0117960850558042,2025-09-16 13:56:19,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,4q_3l_1t,4,1,4,2,0.2,0.0192680698674855,0.011187606897532,41.93706492412679,0.0189579421529277,0.0081220569477301,57.1574969360487,0.0117507448444691,2025-09-16 14:03:39,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,4q_3l_1t,5,1,4,2,0.2,0.0192680698674855,0.0113234924062406,41.23182817938178,0.0189579421529277,0.0080844687652341,57.355768363363104,0.0118754219914991,2025-09-16 14:11:00,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,4q_3l_1t,1,3,4,2,0.2,0.0192680698674855,0.006926445454633,64.05220916122323,0.0189579421529277,0.0055705683215847,70.61617618279065,0.0043078968279836,2025-09-16 14:30:20,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,4q_3l_1t,2,3,4,2,0.2,0.0192680698674855,0.0068803138976213,64.29162887128777,0.0189579421529277,0.0053069499326606,72.00671945377195,0.0043299268834409,2025-09-16 14:49:32,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,4q_3l_1t,3,3,4,2,0.2,0.0192680698674855,0.0067548776358785,64.94263471985182,0.0189579421529277,0.005591216180822,70.50726215050393,0.004249477900452,2025-09-16 15:08:58,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,4q_3l_1t,4,3,4,2,0.2,0.0192680698674855,0.0067749553379071,64.8384327828305,0.0189579421529277,0.0058628061274447,69.07467023503196,0.0044368643730787,2025-09-16 15:28:22,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,4q_3l_1t,5,3,4,2,0.2,0.019268069867485593,0.006742636572009835,65.00616502648316,0.018957942152927745,0.005781573986103397,69.50315630533493,0.004278882680287252,2025-09-16 15:47:51,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst05_L3.json
