dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,4q_3l_1t,1,1,4,2,0.2,0.0192680698674855,0.0121646376965192,36.86634011512098,0.0189579421529277,0.013522029643094,28.67353674773301,0.0135445603106991,2025-09-16 02:43:23,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_3l_1t,2,1,4,2,0.2,0.0192680698674855,0.0121789314205217,36.79215663903413,0.0189579421529277,0.0135230338291061,28.66823983309954,0.0135468376197689,2025-09-16 02:50:49,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_3l_1t,3,1,4,2,0.2,0.0192680698674855,0.0121825360373316,36.77344891773855,0.0189579421529277,0.013536415187225,28.59765538880184,0.0135547958481495,2025-09-16 02:58:13,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_3l_1t,4,1,4,2,0.2,0.0192680698674855,0.0121463304831603,36.961353333802535,0.0189579421529277,0.0134509476624613,29.04848240406682,0.0135170402303706,2025-09-16 03:05:39,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_3l_1t,5,1,4,2,0.2,0.0192680698674855,0.0121722765055992,36.82669520448598,0.0189579421529277,0.0135257774310235,28.653767788110308,0.0135460873154384,2025-09-16 03:13:08,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_3l_1t,1,3,4,2,0.2,0.0192680698674855,0.0067246043929591,65.09975083541309,0.0189579421529277,0.0070433436771696,62.84753049485439,0.0044261420454227,2025-09-16 03:32:52,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_3l_1t,2,3,4,2,0.2,0.0192680698674855,0.0064895940370737,66.31943893858922,0.0189579421529277,0.0067267813864264,64.51734406528074,0.0040032787211486,2025-09-16 03:52:30,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_3l_1t,3,3,4,2,0.2,0.0192680698674855,0.0066720519692911,65.3724944160077,0.0189579421529277,0.0069658919138937,63.25607569797367,0.0041870496971679,2025-09-16 04:12:18,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_3l_1t,4,3,4,2,0.2,0.0192680698674855,0.006539902021254,66.058343849531,0.0189579421529277,0.006781915863154,64.22651884657921,0.0043445614194942,2025-09-16 04:32:07,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_3l_1t,5,3,4,2,0.2,0.019268069867485596,0.006609827189918217,65.69543687885344,0.018957942152927745,0.00669158093031591,64.70302063200195,0.003883534832297505,2025-09-16 04:51:59,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst05_L3.json
