dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
energy,LSTM-AE,0.3,2025,6,2,4,2597,300,90.96,-0.4729068777396772,0.21958719234629293,0.18530867525982642,59.30483622868841,0.11848713845579832,0.04821853504252785
energy,LSTM-AE,0.3,2026,6,2,4,2597,300,81.29,-0.6389753753924821,0.23163574311141163,0.20077609148305592,54.71650494218665,0.11848713845579832,0.053655117486775886
energy,LSTM-AE,0.3,2027,6,2,4,2597,300,79.06,-0.3271126949462335,0.20843625549344683,0.17879789935708493,63.33300544654736,0.11848713845579832,0.043445672604129446
energy,MLP-AE,0.1,2023,6,2,4,19238,300,34.54,0.7627666095874318,0.08812665145771027,0.06936093572657837,41.00898951120022,0.01316523760619982,0.007766306697148748
energy,MLP-AE,0.1,2024,6,2,4,19238,300,45.45,0.5312599542068598,0.12387549126950688,0.10315126180331434,-16.557997631848977,0.01316523760619982,0.015345137337261675
energy,MLP-AE,0.1,2025,6,2,4,19238,300,37.16,0.5551336809044078,0.12067967280623865,0.09631156953811848,-10.621500836129849,0.01316523760619982,0.014563583428620816
energy,MLP-AE,0.1,2026,6,2,4,19238,300,36.06,0.7035460010263197,0.09851401453323448,0.0788799696789663,26.283054284686703,0.01316523760619982,0.009705011059454333
energy,MLP-AE,0.1,2027,6,2,4,19238,300,32.48,0.7248774151657198,0.09490355529152765,0.07154063733213395,31.587373685298424,0.01316523760619982,0.009006684806972046
energy,MLP-AE,0.2,2023,6,2,4,19238,300,32.33,0.05490398112867101,0.17589655254157657,0.14568686375957604,41.24755260504863,0.05266095042479927,0.030939597196011612
energy,MLP-AE,0.2,2024,6,2,4,19238,300,29.89,0.10663663437990645,0.17101469509418216,0.1386780985832168,44.46354328541808,0.05266095042479927,0.029246025938156086
energy,MLP-AE,0.2,2025,6,2,4,19238,300,33.1,0.1944051794876399,0.162396884559536,0.1271948717045934,49.91972628313272,0.05266095042479927,0.02637274811464326
energy,MLP-AE,0.2,2026,6,2,4,19238,300,28.18,0.162610161436332,0.16557059293449275,0.1358669772410546,47.94317036904487,0.05266095042479927,0.027413621244679498
energy,MLP-AE,0.2,2027,6,2,4,19238,300,32.51,0.3569178218057183,0.1450950504477931,0.11636393628180526,60.02241984881936,0.05266095042479927,0.021052573664447627
energy,MLP-AE,0.3,2023,6,2,4,19238,300,27.09,-0.5832085601377397,0.22766088797838566,0.19686846360596613,56.25729459704855,0.11848713845579832,0.051829479915107064
energy,MLP-AE,0.3,2024,6,2,4,19238,300,26.57,-0.42493751034216753,0.21598185671294887,0.18409699767096205,60.63018903391368,0.11848713845579832,0.046648162429172774
energy,MLP-AE,0.3,2025,6,2,4,19238,300,24.35,-0.36541042693992276,0.21142238529450105,0.17673433288627388,62.274871698170344,0.11848713845579832,0.044699425003616455
