dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,4q_2l_2t,1,1,4,2,0.2,0.0192680698674855,0.0143622988251383,25.460625148685136,0.0189579421529277,0.0153597756022278,18.979731669579905,0.0166986744225732,2025-09-16 02:43:27,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_2l_2t,2,1,4,2,0.2,0.0192680698674855,0.0143816187361678,25.36035609650519,0.0189579421529277,0.0153774623048148,18.886437247409503,0.0166509175205077,2025-09-16 02:50:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_2l_2t,3,1,4,2,0.2,0.0192680698674855,0.0143855205980918,25.340105692853864,0.0189579421529277,0.0153843647519237,18.85002798392914,0.0166632721009299,2025-09-16 02:58:29,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_2l_2t,4,1,4,2,0.2,0.0192680698674855,0.014373567672369,25.40214058168788,0.0189579421529277,0.015370639263545,18.922427658261075,0.016695032586383,2025-09-16 03:06:03,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_2l_2t,5,1,4,2,0.2,0.0192680698674855,0.0143553904699914,25.496479052030697,0.0189579421529277,0.0153456614800627,19.054181322666032,0.0166985873611238,2025-09-16 03:13:41,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_2l_2t,1,3,4,2,0.2,0.0192680698674855,0.0067355614681107,65.04288434475306,0.0189579421529277,0.0078275177862943,58.71114215270708,0.0051021081391465,2025-09-16 03:33:40,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_2l_2t,2,3,4,2,0.2,0.0192680698674855,0.0071764948161965,62.75446961967519,0.0189579421529277,0.0075494298975201,60.178009635110726,0.0051308270832726,2025-09-16 03:53:31,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_2l_2t,3,3,4,2,0.2,0.0192680698674855,0.0072801520017273,62.21649572688965,0.0189579421529277,0.0086437704780226,54.405544608712965,0.0049287717182472,2025-09-16 04:13:36,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_2l_2t,4,3,4,2,0.2,0.0192680698674855,0.0066946255840464,65.25533885807901,0.0189579421529277,0.0072674824320326,61.66523574442762,0.0048215986699458,2025-09-16 04:33:39,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_2l_2t,5,3,4,2,0.2,0.019268069867485596,0.006572471259710455,65.8893116699699,0.018957942152927745,0.007658968367006294,59.60021237946709,0.004511823278398923,2025-09-16 04:53:47,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst05_L3.json
