dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,s3_best_train_cost,s1_time_s,s3_time_s,total_time_s,timestamp,bundle_json
mackey_glass_tau17_n200,6q_2l_4t,1,1,6,2,0.2,0.019067164300121137,0.021362002079437944,-12.035548355254,0.018957942152927745,0.019298943715935355,-1.7987266774888155,0.2637331765396195,0.265239876988019,80.83388920780271,214.23038191720843,295.06427112501115,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,6q_2l_4t,2,1,6,2,0.2,0.019067164300121137,0.021286656475574577,-11.640389417734976,0.018957942152927745,0.019201555518239898,-1.2850200899812814,0.2637331766219415,0.26729796053918164,75.36893199989572,213.66037579113618,289.0293077910319,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,6q_2l_4t,3,1,6,2,0.2,0.019067164300121137,0.021320281121836735,-11.816737854937776,0.018957942152927745,0.019245473461510794,-1.516679955364486,0.26373317710456684,0.26761293811877046,78.90460854093544,214.00317312497646,292.9077816659119,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,6q_2l_4t,4,1,6,2,0.2,0.019067164300121137,0.02129755828440649,-11.697565244513996,0.018957942152927745,0.01921485815544347,-1.355189294509196,0.2637331779147366,0.26814028431951586,79.2675633339677,211.4471681250725,290.7147314590402,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,6q_2l_4t,5,1,6,2,0.2,0.019067164300121137,0.0213228656084375,-11.83029250082055,0.018957942152927745,0.019247783581962368,-1.5288654575299487,0.2637332026019875,0.26808814362749267,77.18804462486878,207.20994754089043,284.3979921657592,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,6q_2l_4t,1,3,6,2,0.2,0.019067164300121137,0.020973597750012552,-9.998515877262903,0.018957942152927745,0.019439945520577536,-2.5424878067546564,0.2648638012487675,0.2709076679627316,156.1590560830664,487.07299337512814,643.2320494581945,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,6q_2l_4t,2,3,6,2,0.2,0.019067164300121137,0.021011779992597943,-10.198767167829192,0.018957942152927745,0.019471736257620307,-2.7101786710179043,0.26507505542671833,0.2716863663922547,158.5982233749237,493.243658374995,651.8418817499187,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,6q_2l_4t,3,3,6,2,0.2,0.019067164300121137,0.02114406650681761,-10.892559449352813,0.018957942152927745,0.01855316428037519,2.1351361307432093,0.2674560741343863,0.29203789486706305,156.9610296669416,487.9637132920325,644.9247429589741,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,6q_2l_4t,4,3,6,2,0.2,0.019067164300121137,0.021330284420767846,-11.869201340192625,0.018957942152927745,0.018545251648778908,2.1768739498189915,0.267094342911547,0.2978556323161782,156.02453504200093,489.2710940828547,645.2956291248556,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,6q_2l_4t,5,3,6,2,0.2,0.019067164300121137,0.021313024206819995,-11.7786781051894,0.018957942152927745,0.018514856055244076,2.337205663512598,0.2671085817730131,0.2999551351084198,160.01469058310613,506.6918851658702,666.7065757489763,2025-10-03 12:37:30,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst05_L3.json
