n_layers,runs,noisy_baseline_mse (mean±std),best_val_mse (mean±std),final_val_mse (mean±std),best_delta_pct (mean±std),final_delta_pct (mean±std)
1,5,0.000699 ± 0.000000,0.007887 ± 0.000111,0.009459 ± 0.000864,-1027.803142 ± 15.817187,-1252.526006 ± 123.552001
3,5,0.000699 ± 0.000000,0.003892 ± 0.000301,0.005122 ± 0.001925,-456.521303 ± 43.018932,-632.449510 ± 275.219501
