tau,sigma,seed,n_epochs,wind_size,wind_step,n_latent,n_trash,n_layers,rot,train_noise_clip,eval_seed_fixed,eval_noise_clip,n_weights,n_wires,min_train_cost,min_train_iter,mse_test_noise,mse_test_recovered,delta_test_pct,elapsed_sec
17,0.1,2023,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.0070401246024902175,26,0.013165237606199821,0.009480600873701351,27.987620449503225,982.0
17,0.1,2024,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.005700956123960604,26,0.013165237606199821,0.009586174551238533,27.1857080139277,982.5
17,0.1,2025,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.006543462910660614,29,0.013165237606199821,0.008358340408205274,36.512042864542494,1138.1
17,0.1,2026,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.00399971846854028,27,0.013165237606199821,0.006517015772281185,50.49830495112242,1136.7
17,0.1,2027,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.008136664431984526,26,0.013165237606199821,0.011673019331006545,11.334533563530636,1137.1
17,0.2,2023,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.009705947239595152,26,0.05266095042479927,0.017684616957914498,66.4179685036858,983.0
17,0.2,2024,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.009389368364639038,26,0.05266095042479927,0.014820557283302985,71.85664678713502,957.2
17,0.2,2025,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.010688602514844471,28,0.05266095042479927,0.015873516041432778,69.85714098703852,1102.8
17,0.2,2026,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.008575382520545821,26,0.05266095042479927,0.01612003494576989,69.3890163095526,1110.5
17,0.2,2027,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.010487840004703703,14,0.05266095042479927,0.017187149022914093,67.36263040398856,1106.6
17,0.3,2023,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.01296656375357087,26,0.11848713845579832,0.02607189968546222,77.99600865946445,958.4
17,0.3,2024,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.01269551603993934,26,0.11848713845579832,0.026194667125062028,77.89239619890563,956.4
17,0.3,2025,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.014730107460430754,29,0.11848713845579832,0.024356724296943015,79.44357116360837,1070.9
17,0.3,2026,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.011860473548591492,27,0.11848713845579832,0.024333114735279524,79.46349700701313,1072.5
17,0.3,2027,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.014799776222832049,24,0.11848713845579832,0.02344706209801696,80.21130191547002,1075.3
30,0.1,2023,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.004008060487354556,24,0.01316523760619982,0.007449714516710943,43.413748087594726,969.4
30,0.1,2024,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.0036728632357049054,26,0.01316523760619982,0.007229298461757691,45.08797578895769,971.4
30,0.1,2025,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.003810620776790898,25,0.01316523760619982,0.007335524338687892,44.28110940258745,1077.2
30,0.1,2026,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.0038382041801229587,27,0.01316523760619982,0.007179722947110552,45.46453955582653,1077.7
30,0.1,2027,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.00474670205387397,18,0.01316523760619982,0.009557484760756855,27.4036288091298,1074.2
30,0.2,2023,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.008804568340742086,24,0.05266095042479927,0.018014360852181034,65.79180454043296,957.6
30,0.2,2024,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.008690288108823767,26,0.05266095042479927,0.017477518772223078,66.81123559062749,960.9
30,0.2,2025,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.007909687045088173,18,0.05266095042479927,0.020012095363597514,61.99822600586155,1153.6
30,0.2,2026,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.008198494590073298,27,0.05266095042479927,0.016726940044601298,68.23653977060735,1155.6
30,0.2,2027,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.008995345865815506,15,0.05266095042479927,0.019195968297352473,63.54800256640898,1146.2
30,0.3,2023,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.012140876473051293,7,0.11848713845579832,0.03005908925929533,74.6309264861613,980.8
30,0.3,2024,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.01242802363948226,22,0.11848713845579832,0.028558869027978516,75.89707254291366,975.2
30,0.3,2025,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.012004244429985043,18,0.11848713845579832,0.03616956272476089,69.47384906400286,1111.5
30,0.3,2026,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.01244626224497653,18,0.11848713845579832,0.03475883047207447,70.66446964195927,1116.4
30,0.3,2027,300,6,2,4,2,4,Rxyz,True,99123,False,144,8,0.012476513000941592,18,0.11848713845579832,0.026504751670901237,77.63069307240562,1117.6
