dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,6q_4l_2t,1,1,6,2,0.2,0.019067164300121137,0.023371644072024474,-22.57535365065264,0.01895794215292774,0.023199266261997323,-22.37228109916236,0.43260209815559175,2025-09-14 16:11:15,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,6q_4l_2t,2,1,6,2,0.2,0.019067164300121137,0.02060681993383561,-8.074906207761012,0.01895794215292774,0.018311642817420717,3.409121782804947,0.4243794030389891,2025-09-14 16:11:16,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,6q_4l_2t,3,1,6,2,0.2,0.019067164300121137,0.021064879298249715,-10.477252761260814,0.01895794215292774,0.019353283245514972,-2.0853586818555536,0.3717991607156182,2025-09-14 16:11:17,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,6q_4l_2t,4,1,6,2,0.2,0.019067164300121137,0.02489229714860122,-30.55059869832386,0.01895794215292774,0.024392246198519707,-28.665052365679532,0.41719433916729365,2025-09-14 16:11:18,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,6q_4l_2t,5,1,6,2,0.2,0.019067164300121137,0.023689145238902993,-24.240526100425374,0.01895794215292774,0.02315310065306189,-22.128765170254926,0.41251449144060476,2025-09-14 16:11:19,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,6q_4l_2t,1,3,6,2,0.2,0.019067164300121137,0.01729634352830194,9.287279135723125,0.01895794215292774,0.015627861163425263,17.56562480589804,0.18814123116247788,2025-09-14 16:11:20,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,6q_4l_2t,2,3,6,2,0.2,0.019067164300121137,0.01837095264999038,3.6513644041255455,0.01895794215292774,0.01646047603301135,13.173719487959811,0.198070338807892,2025-09-14 16:11:23,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,6q_4l_2t,3,3,6,2,0.2,0.019067164300121137,0.014167022407452204,25.699374146777565,0.01895794215292774,0.014155140623067154,25.333981352606205,0.11730367093246792,2025-09-14 16:11:25,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,6q_4l_2t,4,3,6,2,0.2,0.019067164300121137,0.012177028037216708,36.136135161224026,0.01895794215292774,0.01049494730923357,44.64089390834648,0.12211946722877012,2025-09-14 16:11:27,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,6q_4l_2t,5,3,6,2,0.2,0.019067164300121137,0.016128475017222674,15.412303773350256,0.01895794215292774,0.014762977785055852,22.127741154775304,0.1721425359318038,2025-09-14 16:11:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst05_L3.json
