dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,4q_3l_1t,1,1,4,2,0.2,0.019268069867485596,0.01896122420829982,1.5925085454644883,0.018957942152927745,0.019575718658234306,-3.258668585034985,0.3320105128454564,2025-09-14 12:09:23,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_3l_1t,2,1,4,2,0.2,0.019268069867485596,0.018467047071554152,4.157254989422432,0.018957942152927745,0.019413003365195605,-2.400372406440665,0.3468608374869065,2025-09-14 12:09:23,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_3l_1t,3,1,4,2,0.2,0.019268069867485596,0.019657746154572338,-2.022393990507121,0.018957942152927745,0.020591603059454587,-8.617290280498867,0.33473771179072376,2025-09-14 12:09:24,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_3l_1t,4,1,4,2,0.2,0.019268069867485596,0.02135917979046828,-10.852721301947232,0.018957942152927745,0.021506581344299763,-13.44364895099346,0.34637691617244054,2025-09-14 12:09:24,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_3l_1t,5,1,4,2,0.2,0.019268069867485596,0.02050914383922191,-6.441091299085433,0.018957942152927745,0.02034641891896927,-7.323984612048706,0.34634338289915373,2025-09-14 12:09:25,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_3l_1t,1,3,4,2,0.2,0.019268069867485596,0.010590302160865483,45.03703674680792,0.018957942152927745,0.011546473875663012,39.094265703939556,0.07714969225362761,2025-09-14 12:09:26,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_3l_1t,2,3,4,2,0.2,0.019268069867485596,0.00960631010341712,50.14389002383919,0.018957942152927745,0.010938696297515609,42.30019160689176,0.05252134424226545,2025-09-14 12:09:27,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_3l_1t,3,3,4,2,0.2,0.019268069867485596,0.010494088274845662,45.53638041060779,0.018957942152927745,0.011456245012546044,39.570207989178755,0.07374368904020714,2025-09-14 12:09:28,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_3l_1t,4,3,4,2,0.2,0.019268069867485596,0.010151723500917139,47.313230797196105,0.018957942152927745,0.012579959238640932,33.64280185495681,0.08443633688176395,2025-09-14 12:09:29,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_3l_1t,5,3,4,2,0.2,0.019268069867485596,0.010228153504137222,46.916564168178645,0.018957942152927745,0.012076239534968974,36.29983973179285,0.06871725813529012,2025-09-14 12:09:30,qae_runs/mackey_glass_tau17_n200/4q_3l_1t/L3/bundle_inst05_L3.json
