dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,4q_2l_2t,1,1,4,2,0.2,0.0192680698674855,0.0131127005654674,31.945956934717103,0.0189579421529277,0.0110284625172493,41.82668968875327,0.0147448524360218,2025-09-16 13:41:45,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,4q_2l_2t,2,1,4,2,0.2,0.0192680698674855,0.0130181801608765,32.436511542630534,0.0189579421529277,0.0107666475929103,43.207719983217686,0.0147159875645908,2025-09-16 13:49:09,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,4q_2l_2t,3,1,4,2,0.2,0.0192680698674855,0.0129118669258312,32.98827015559197,0.0189579421529277,0.011014753526768,41.899002339412704,0.0146510782676084,2025-09-16 13:56:35,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,4q_2l_2t,4,1,4,2,0.2,0.0192680698674855,0.0130677526191038,32.17923378430647,0.0189579421529277,0.0111118364824209,41.38690585304444,0.0147004756041076,2025-09-16 14:04:03,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,4q_2l_2t,5,1,4,2,0.2,0.0192680698674855,0.0130956903706314,32.034238713603166,0.0189579421529277,0.0109725185706107,42.12178472695536,0.0147714070540425,2025-09-16 14:11:31,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,4q_2l_2t,1,3,4,2,0.2,0.0192680698674855,0.0064007919091866,66.78031607105703,0.0189579421529277,0.005635323593539,70.27460286522316,0.0049288425815584,2025-09-16 14:31:12,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,4q_2l_2t,2,3,4,2,0.2,0.0192680698674855,0.0068268260082384,64.56922745667153,0.0189579421529277,0.0059403202397587,68.6657961510798,0.004834332140066,2025-09-16 14:50:56,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,4q_2l_2t,3,3,4,2,0.2,0.0192680698674855,0.0065221592834492,66.15042747766245,0.0189579421529277,0.0059362666471816,68.68717817948986,0.0045817836920946,2025-09-16 15:10:29,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,4q_2l_2t,4,3,4,2,0.2,0.0192680698674855,0.0068167212108634,64.6216706824045,0.0189579421529277,0.0056097628134596,70.40943173996685,0.0043419710435988,2025-09-16 15:30:12,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,4q_2l_2t,5,3,4,2,0.2,0.019268069867485593,0.0072260915423232675,62.49706591256904,0.018957942152927745,0.005477342708803221,71.10792582539169,0.00516356150359356,2025-09-16 15:50:01,qae_runs/mackey_glass_tau30_n200/4q_2l_2t/L3/bundle_inst05_L3.json
