dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,s3_best_train_cost,s1_time_s,s3_time_s,total_time_s,timestamp,bundle_json
mackey_glass_tau17_n200,4q_2l_2t,1,1,4,2,0.2,0.019268069867485596,0.01902515407279978,1.2607168043112127,0.018957942152927745,0.019040185898787743,-0.43382211632763124,0.1874977543243237,0.23898936567177814,57.880852542002685,110.11044062499423,167.9912931669969,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,4q_2l_2t,2,1,4,2,0.2,0.019268069867485596,0.019123350535614515,0.7510836989193748,0.018957942152927745,0.01919582036433084,-1.2547681044925874,0.18749775329028673,0.23323451984588256,54.844823291990906,115.12283633300103,169.96765962499194,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,4q_2l_2t,3,1,4,2,0.2,0.019268069867485596,0.019130380456284415,0.7145988786013691,0.018957942152927745,0.0191999056572662,-1.2763173470338174,0.18749775279680875,0.2345173833501502,56.936690583010204,135.77040866599418,192.7070992490044,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,4q_2l_2t,4,1,4,2,0.2,0.019268069867485596,0.01914049896150601,0.6620845100570261,0.018957942152927745,0.019206856661175952,-1.3129827395837124,0.187497753455286,0.2343059915181084,75.76941212499514,146.6287364170421,222.39814854203723,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,4q_2l_2t,5,1,4,2,0.2,0.019268069867485596,0.019134859843989212,0.6913511545916351,0.018957942152927745,0.019214609625794327,-1.3538783418375555,0.18749775298052926,0.2346312729222446,72.51089054101612,146.41122487501707,218.9221154160332,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,4q_2l_2t,1,3,4,2,0.2,0.019268069867485596,0.012464785281384269,35.308594129512194,0.018957942152927745,0.011497432754715826,39.35294948170187,0.11799903344837809,0.17370084779541403,140.91147849999834,301.7184435420204,442.62992204201873,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,4q_2l_2t,2,3,4,2,0.2,0.019268069867485596,0.012134672420548153,37.0218579027206,0.018957942152927745,0.012146447621626246,35.92950372121256,0.11077843313188153,0.1945266783376783,139.4683537920937,302.5250862920657,441.9934400841594,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,4q_2l_2t,3,3,4,2,0.2,0.019268069867485596,0.011018783713954022,42.813246008890836,0.018957942152927745,0.011023819997874884,41.851178208324505,0.10715450304822251,0.12161545838984857,137.64241012500133,303.4482070830418,441.0906172080431,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,4q_2l_2t,4,3,4,2,0.2,0.019268069867485596,0.010422344561663643,45.90872550627866,0.018957942152927745,0.0108399501907421,42.821060939527946,0.10708407702062682,0.16577655122291943,140.29370862501673,300.0324227500241,440.32613137504086,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,4q_2l_2t,5,3,4,2,0.2,0.019268069867485596,0.010242904253490052,46.84000876094648,0.018957942152927745,0.010964762125618045,42.16269868760668,0.10488608508040716,0.1648096100043999,140.08241899998393,307.94029916706495,448.0227181670489,2025-10-02 23:39:58,qae_runs/mackey_glass_tau17_n200/4q_2l_2t/L3/bundle_inst05_L3.json
