dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,6q_4l_2t,1,1,6,2,0.2,0.0190671643001211,0.0150678556018556,20.974847834295275,0.0189579421529277,0.0134546282858811,29.029067726091384,0.0155325778177137,2025-09-16 02:47:07,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,6q_4l_2t,2,1,6,2,0.2,0.0190671643001211,0.0150567932402686,21.03286569900181,0.0189579421529277,0.0134743316895588,28.92513554020948,0.0155498166673839,2025-09-16 02:58:14,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,6q_4l_2t,3,1,6,2,0.2,0.0190671643001211,0.0150643055684671,20.993466404590432,0.0189579421529277,0.013504329084329,28.76690425894394,0.0155466676602095,2025-09-16 03:09:12,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,6q_4l_2t,4,1,6,2,0.2,0.0190671643001211,0.0150239670012439,21.205026794946725,0.0189579421529277,0.0134619537630326,28.99042704931108,0.0155727205219262,2025-09-16 03:20:25,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,6q_4l_2t,5,1,6,2,0.2,0.0190671643001211,0.0150426803163121,21.106882599125665,0.0189579421529277,0.0134788930684936,28.90107502299716,0.0155775614332229,2025-09-16 03:31:33,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,6q_4l_2t,1,3,6,2,0.2,0.0190671643001211,0.0074217837117456,61.07557686646412,0.0189579421529277,0.0076118459174853,59.84877548373687,0.0062372684474363,2025-09-16 04:01:35,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,6q_4l_2t,2,3,6,2,0.2,0.0190671643001211,0.006579288592109,65.49414224081933,0.0189579421529277,0.0065055314539603,65.68440075677913,0.0070884575196006,2025-09-16 04:31:22,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,6q_4l_2t,3,3,6,2,0.2,0.0190671643001211,0.0070513773149372,63.018217056573576,0.0189579421529277,0.007913317294186,58.25856398151343,0.0056772741221892,2025-09-16 05:01:29,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,6q_4l_2t,4,3,6,2,0.2,0.0190671643001211,0.0076517264448892,59.869614986007,0.0189579421529277,0.0075371295293871,60.24289203655362,0.0080321828128036,2025-09-16 05:31:18,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,6q_4l_2t,5,3,6,2,0.2,0.019067164300121137,0.00696499008525203,63.47128510762463,0.018957942152927745,0.0078107224696719315,58.79973466178294,0.006254690419220037,2025-09-16 06:00:35,qae_runs/mackey_glass_tau17_n200/6q_4l_2t/L3/bundle_inst05_L3.json
