n_layers,runs,noisy_baseline_mse (mean±std),best_val_mse (mean±std),final_val_mse (mean±std),best_delta_pct (mean±std),final_delta_pct (mean±std)
1,5,0.000699 ± 0.000000,0.010571 ± 0.000091,0.011189 ± 0.000271,-1411.575995 ± 13.026924,-1499.935317 ± 38.792874
3,5,0.000699 ± 0.000000,0.006892 ± 0.000337,0.008386 ± 0.000862,-885.494889 ± 48.202727,-1099.153918 ± 123.211781
