n_layers,runs,noisy_baseline_mse (mean±std),best_val_mse (mean±std),final_val_mse (mean±std),best_delta_pct (mean±std),final_delta_pct (mean±std),s1_best_val (mean±std)
1,5,0.013847 ± 0.000000,0.010178 ± 0.000771,0.010279 ± 0.000857,26.493149 ± 5.571710,25.764384 ± 6.189912,0.327504 ± 0.051254
3,5,0.013847 ± 0.000000,0.009117 ± 0.000635,0.009278 ± 0.000582,34.154367 ± 4.585051,32.994515 ± 4.204427,0.042373 ± 0.014574
