dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,min_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,6q_2l_4t,1,1,6,2,0.2,0.0190671643001211,0.015294678257347,19.785249570383712,0.0189579421529277,0.0153168067966991,19.206384990821924,0.0175286761094853,2025-09-16 02:48:20,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst01_L1.json
mackey_glass_tau17_n200,6q_2l_4t,2,1,6,2,0.2,0.0190671643001211,0.0153246098679562,19.628269695778226,0.0189579421529277,0.0153238587371758,19.16918717462504,0.017540902659319,2025-09-16 02:59:44,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst02_L1.json
mackey_glass_tau17_n200,6q_2l_4t,3,1,6,2,0.2,0.0190671643001211,0.0152831105374718,19.84591784644769,0.0189579421529277,0.0153063343938166,19.261625178802177,0.017533955080388,2025-09-16 03:11:15,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst03_L1.json
mackey_glass_tau17_n200,6q_2l_4t,4,1,6,2,0.2,0.0190671643001211,0.0153266679269108,19.617475961994767,0.0189579421529277,0.0153521472594619,19.019969912235258,0.017540111453053,2025-09-16 03:22:47,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst04_L1.json
mackey_glass_tau17_n200,6q_2l_4t,5,1,6,2,0.2,0.0190671643001211,0.0153763875124204,19.356715710878905,0.0189579421529277,0.0154080280381403,18.72520807454397,0.017529814374779,2025-09-16 03:34:16,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L1/bundle_inst05_L1.json
mackey_glass_tau17_n200,6q_2l_4t,1,3,6,2,0.2,0.0190671643001211,0.0108932676217766,42.86896860847082,0.0189579421529277,0.0115462092755306,39.09566142574409,0.0113510360939886,2025-09-16 04:04:52,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst01_L3.json
mackey_glass_tau17_n200,6q_2l_4t,2,3,6,2,0.2,0.0190671643001211,0.0111970353710892,41.27582269263736,0.0189579421529277,0.0112855805500034,40.4704347182505,0.011923055932578,2025-09-16 04:35:12,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst02_L3.json
mackey_glass_tau17_n200,6q_2l_4t,3,3,6,2,0.2,0.0190671643001211,0.0097640467317986,48.79130122282209,0.0189579421529277,0.0100623386727672,46.922832702001294,0.0101933795296625,2025-09-16 05:05:51,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst03_L3.json
mackey_glass_tau17_n200,6q_2l_4t,4,3,6,2,0.2,0.0190671643001211,0.0116292363057215,39.00909373478411,0.0189579421529277,0.0118201663142089,37.65058349234629,0.0117258695565472,2025-09-16 05:36:14,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst04_L3.json
mackey_glass_tau17_n200,6q_2l_4t,5,3,6,2,0.2,0.019067164300121137,0.010860313758275704,43.04179904608727,0.018957942152927745,0.011390487738419598,39.917066701986315,0.01115814449013562,2025-09-16 06:06:18,qae_runs/mackey_glass_tau17_n200/6q_2l_4t/L3/bundle_inst05_L3.json
