dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_cost,s3_best_cost,s1_time_s,s3_time_s,total_time_s,timestamp,bundle_json,s1_best_train_cost,s3_best_train_cost
mackey_glass_tau30_n200,4q_3l_1t,1,1,4,2,0.2,0.019268069867485593,0.018732633411235572,2.778879565687875,0.018957942152927745,0.014911652200564071,21.343508275969658,,,53.70149320794735,112.02512962499168,165.72662283293903,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst01_L1.json,0.1576950349150007,0.23208525984199763
mackey_glass_tau30_n200,4q_3l_1t,2,1,4,2,0.2,0.019268069867485593,0.018752794793249195,2.6742433351142902,0.018957942152927745,0.014937999753735625,21.20452930367923,,,51.747941832989454,105.86817683302797,157.61611866601743,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst02_L1.json,0.15769503492473672,0.2301639833047342
mackey_glass_tau30_n200,4q_3l_1t,3,1,4,2,0.2,0.019268069867485593,0.018736513535689232,2.7587419780605416,0.018957942152927745,0.014918536502318015,21.307194726226708,,,52.46337766596116,112.0952608329244,164.55863849888556,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst03_L1.json,0.15769503491397582,0.23248296371554533
mackey_glass_tau30_n200,4q_3l_1t,4,1,4,2,0.2,0.019268069867485593,0.01877241610936333,2.5724100106086167,0.018957942152927745,0.014964840668254896,21.06294793212131,,,52.62367916596122,110.217245250009,162.84092441597022,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst04_L1.json,0.15769503498560103,0.2314588021506351
mackey_glass_tau30_n200,4q_3l_1t,5,1,4,2,0.2,0.019268069867485593,0.018741256073861196,2.7341285206432753,0.018957942152927745,0.014922433748913904,21.28663739693194,,,51.67864058399573,111.45266524993349,163.13130583392922,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst05_L1.json,0.15769503516360728,0.23133019975326982
mackey_glass_tau30_n200,4q_3l_1t,1,3,4,2,0.2,0.019268069867485593,0.008992029666805946,53.33196459921613,0.018957942152927745,0.007348373459973584,61.23854899072605,,,97.6708851250587,227.67551462491974,325.34639974997845,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst01_L3.json,0.02651473675467262,0.13835582520140166
mackey_glass_tau30_n200,4q_3l_1t,2,3,4,2,0.2,0.019268069867485593,0.01116916129645851,42.03279636583527,0.018957942152927745,0.00937335880153674,50.55708723064556,,,99.66191866598092,221.22648379195016,320.8884024579311,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst02_L3.json,0.03305670970028115,0.21120918985005838
mackey_glass_tau30_n200,4q_3l_1t,3,3,4,2,0.2,0.019268069867485593,0.011910922068627181,38.18310733486297,0.018957942152927745,0.009306604188834257,50.909206738997234,,,94.73934866697527,219.53020949999336,314.26955816696864,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst03_L3.json,0.030238761985346675,0.2457556193941472
mackey_glass_tau30_n200,4q_3l_1t,4,3,4,2,0.2,0.019268069867485593,0.011613436470265238,39.72703778772032,0.018957942152927745,0.007095089339453135,62.57458071018846,,,96.61237683298532,219.86789645801764,316.48027329100296,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst04_L3.json,0.033322846181861654,0.20360535093899468
mackey_glass_tau30_n200,4q_3l_1t,5,3,4,2,0.2,0.019268069867485593,0.009625759297552411,50.04295000094613,0.018957942152927745,0.008116151551236293,57.18864692293153,,,99.16879666701425,230.1610370419221,329.32983370893635,2025-10-02 17:08:27,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst05_L3.json,0.03329578108408129,0.16167168709038013
