dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,s3_best_train_cost,s1_time_s,s3_time_s,total_time_s,timestamp,bundle_json
mackey_glass_tau30_n200,6q_4l_2t,1,1,6,2,0.2,0.019067164300121137,0.0186522099585314,2.1762771592999886,0.01895794215292774,0.01594414057343213,15.897303384429707,0.21782353550643424,0.2912898298923613,75.21123474999331,219.01633641705848,294.2275711670518,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,6q_4l_2t,2,1,6,2,0.2,0.019067164300121137,0.01868862804519982,1.9852781932492958,0.01895794215292774,0.015980954460991213,15.703116234463133,0.21782354235697915,0.28954211210412933,70.88935320801102,215.75529954198282,286.64465274999384,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,6q_4l_2t,3,1,6,2,0.2,0.019067164300121137,0.018627714212246047,2.3047480000594422,0.01895794215292774,0.015910034114387222,16.07720929810843,0.21782353543001415,0.29215521795055377,66.22071699996013,220.85362608300056,287.0743430829607,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,6q_4l_2t,4,1,6,2,0.2,0.019067164300121137,0.018706500902540325,1.8915418774595683,0.01895794215292774,0.015998233277102935,15.611973345787034,0.21782353564892862,0.29047785329511916,70.75971933302935,218.24884629098233,289.0085656240117,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,6q_4l_2t,5,1,6,2,0.2,0.019067164300121137,0.018695412812114,1.949694680109182,0.01895794215292774,0.015977263372947123,15.722586111595971,0.2178235473290661,0.2895699705183362,63.562889166991226,209.89073204202577,273.453621209017,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,6q_4l_2t,1,3,6,2,0.2,0.019067164300121137,0.010948976550736076,42.576796536721965,0.01895794215292774,0.008696181525174556,54.129085029244195,0.10881984510334035,0.19217576733617592,132.3001314160647,463.8107188330032,596.1108502490679,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,6q_4l_2t,2,3,6,2,0.2,0.019067164300121137,0.009611939531174384,49.58904544021097,0.01895794215292774,0.006992104385044693,63.117809260933534,0.09357702883525268,0.21850435571871896,132.3952229169663,462.24512283387594,594.6403457508422,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,6q_4l_2t,3,3,6,2,0.2,0.019067164300121137,0.011804700381440204,38.088851621396024,0.01895794215292774,0.010614074231053088,44.01251915723395,0.16667452903065363,0.30072606588814743,134.74224254186265,466.8151563331485,601.5573988750111,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,6q_4l_2t,4,3,6,2,0.2,0.019067164300121137,0.009243534588179576,51.521188768899165,0.01895794215292774,0.007880890680523186,58.42960898946453,0.09143338731651733,0.19196464956452694,132.9194892088417,463.69937175000086,596.6188609588426,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,6q_4l_2t,5,3,6,2,0.2,0.019067164300121137,0.0099471662238212,47.830909372517425,0.01895794215292774,0.008573491277005584,54.77625573574423,0.10732778613385582,0.23285733222912072,131.9738031248562,463.6843159580603,595.6581190829165,2025-10-03 07:53:28,qae_runs/mackey_glass_tau30_n200/6q_4l_2t/L3/bundle_inst05_L3.json
