dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,4q_3l_1t,1,1,4,2,0.2,0.019268069867485593,0.0204673784452692,-6.224331684656237,0.018957942152927745,0.01722547481315246,9.138477825283031,0.32043439897356707,2025-09-14 15:18:33,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst01_L1.json
mackey_glass_tau30_n200,4q_3l_1t,2,1,4,2,0.2,0.019268069867485593,0.02373347770776696,-23.175169443498,0.018957942152927745,0.022397039695627802,-18.1406690396982,0.3805184973204151,2025-09-14 15:18:33,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst02_L1.json
mackey_glass_tau30_n200,4q_3l_1t,3,1,4,2,0.2,0.019268069867485593,0.02206431364029146,-14.512319044080613,0.018957942152927745,0.019957094566886692,-5.270363238262354,0.31690171740367906,2025-09-14 15:18:34,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst03_L1.json
mackey_glass_tau30_n200,4q_3l_1t,4,1,4,2,0.2,0.019268069867485593,0.022958423346647265,-19.152688902114967,0.018957942152927745,0.022332973625847425,-17.802731149269068,0.33586768190996835,2025-09-14 15:18:35,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst04_L1.json
mackey_glass_tau30_n200,4q_3l_1t,5,1,4,2,0.2,0.019268069867485593,0.023893204625517795,-24.004141514127507,0.018957942152927745,0.022774863271295468,-20.13362572571338,0.3400537803382911,2025-09-14 15:18:35,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L1/bundle_inst05_L1.json
mackey_glass_tau30_n200,4q_3l_1t,1,3,4,2,0.2,0.019268069867485593,0.011587565127030967,39.86130833693567,0.018957942152927745,0.008601053026800266,54.630872077685,0.0471388901945441,2025-09-14 15:18:36,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst01_L3.json
mackey_glass_tau30_n200,4q_3l_1t,2,3,4,2,0.2,0.019268069867485593,0.010284795844892442,46.622594190154,0.018957942152927745,0.007818023680335247,58.761221986702395,0.049383441222828804,2025-09-14 15:18:37,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst02_L3.json
mackey_glass_tau30_n200,4q_3l_1t,3,3,4,2,0.2,0.019268069867485593,0.009921556907328707,48.50778009648441,0.018957942152927745,0.007781799961870297,58.95229609259819,0.055388335926811375,2025-09-14 15:18:38,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst03_L3.json
mackey_glass_tau30_n200,4q_3l_1t,4,3,4,2,0.2,0.019268069867485593,0.011121128116023752,42.28208537488028,0.018957942152927745,0.00813327468074418,57.098325255264434,0.07824268971269435,2025-09-14 15:18:39,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst04_L3.json
mackey_glass_tau30_n200,4q_3l_1t,5,3,4,2,0.2,0.019268069867485593,0.01028465405156338,46.62333008809312,0.018957942152927745,0.007676295455506412,59.50881486194992,0.06492875097347335,2025-09-14 15:18:41,qae_runs/mackey_glass_tau30_n200/4q_3l_1t/L3/bundle_inst05_L3.json
