dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau17_n200,6q_2l_4t,1,1,6,2,0.2,0.019067164300121137,0.02435032225919495,-27.708147241591917,0.018957942152927745,0.02327023556087626,-22.746632377937438,0.2814771913535468,2025-09-22 05:28:34,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L1\bundle_inst01_L1.json
mackey_glass_tau17_n200,6q_2l_4t,2,1,6,2,0.2,0.019067164300121137,0.023803378291673748,-24.839634866536088,0.018957942152927745,0.02255268700068908,-18.961682754191678,0.2814788257807617,2025-09-22 05:28:37,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L1\bundle_inst02_L1.json
mackey_glass_tau17_n200,6q_2l_4t,3,1,6,2,0.2,0.019067164300121137,0.025314787426670593,-32.76639896845994,0.018957942152927745,0.02493694725139954,-31.53826006135605,0.2814773068221417,2025-09-22 05:28:40,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L1\bundle_inst03_L1.json
mackey_glass_tau17_n200,6q_2l_4t,4,1,6,2,0.2,0.019067164300121137,0.02494834695256636,-30.844558529386855,0.018957942152927745,0.02426873423063635,-28.013547223997826,0.2814763639287241,2025-09-22 05:28:43,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L1\bundle_inst04_L1.json
mackey_glass_tau17_n200,6q_2l_4t,5,1,6,2,0.2,0.019067164300121137,0.023959389920955126,-25.657856322153293,0.018957942152927745,0.023484229446153086,-23.87541462418867,0.2814763740299842,2025-09-22 05:28:46,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L1\bundle_inst05_L1.json
mackey_glass_tau17_n200,6q_2l_4t,1,3,6,2,0.2,0.019067164300121137,0.024078994483197082,-26.285136605468406,0.018957942152927745,0.022349013092194524,-17.887336673527532,0.2708645243486892,2025-09-22 05:28:52,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L3\bundle_inst01_L3.json
mackey_glass_tau17_n200,6q_2l_4t,2,3,6,2,0.2,0.019067164300121137,0.023864566571379416,-25.16054404182062,0.018957942152927745,0.023177067459141592,-22.25518609656836,0.2522237451090676,2025-09-22 05:28:58,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L3\bundle_inst02_L3.json
mackey_glass_tau17_n200,6q_2l_4t,3,3,6,2,0.2,0.019067164300121137,0.02525152054494987,-32.43458831887991,0.018957942152927745,0.023839564833216666,-25.74974984579239,0.24608421433559324,2025-09-22 05:29:04,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L3\bundle_inst03_L3.json
mackey_glass_tau17_n200,6q_2l_4t,4,3,6,2,0.2,0.019067164300121137,0.023702027450350095,-24.308088383124236,0.018957942152927745,0.02308226643180339,-21.755126403520066,0.24662167508731664,2025-09-22 05:29:10,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L3\bundle_inst04_L3.json
mackey_glass_tau17_n200,6q_2l_4t,5,3,6,2,0.2,0.019067164300121137,0.023384919549978404,-22.64497846609437,0.018957942152927745,0.02198069633821812,-15.94452689488537,0.2756004942449267,2025-09-22 05:29:16,qae_runs\mackey_glass_tau17_n200\6q_2l_4t\L3\bundle_inst05_L3.json
