dataset,arch,instance_id,layer,window_size,step,sigma_eval,mse_train_noise,mse_train_recovered,delta_train_pct,mse_test_noise,mse_test_recovered,delta_test_pct,s1_best_train_cost,timestamp,bundle_json
mackey_glass_tau30_n200,4q_2l_2t,1,1,4,2,0.2,0.019268069867485593,0.026554520579421866,-37.816194159810394,0.018957942152927745,0.025917696135202242,-36.71154773093173,0.2006433003401116,2025-09-20 14:47:16,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L1\bundle_inst01_L1.json
mackey_glass_tau30_n200,4q_2l_2t,2,1,4,2,0.2,0.019268069867485593,0.024183971645711174,-25.513202993523755,0.018957942152927745,0.023405348501561507,-23.459330726710405,0.20070590966699398,2025-09-20 14:47:19,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L1\bundle_inst02_L1.json
mackey_glass_tau30_n200,4q_2l_2t,3,1,4,2,0.2,0.019268069867485593,0.02453564876555102,-27.33838383549947,0.018957942152927745,0.02808712016532378,-48.15489961280519,0.20064505406995262,2025-09-20 14:47:22,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L1\bundle_inst03_L1.json
mackey_glass_tau30_n200,4q_2l_2t,4,1,4,2,0.2,0.019268069867485593,0.0270894617713679,-40.592503336728704,0.018957942152927745,0.02999903878594427,-58.23995317609621,0.20064328254424801,2025-09-20 14:47:24,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L1\bundle_inst04_L1.json
mackey_glass_tau30_n200,4q_2l_2t,5,1,4,2,0.2,0.019268069867485593,0.024762786168342984,-28.51721183619742,0.018957942152927745,0.024887835135334158,-31.279201796122358,0.20064327564376064,2025-09-20 14:47:27,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L1\bundle_inst05_L1.json
mackey_glass_tau30_n200,4q_2l_2t,1,3,4,2,0.2,0.019268069867485593,0.025417714736191435,-31.91624750688298,0.018957942152927745,0.02410080862669884,-27.127767519729783,0.1116396446693753,2025-09-20 14:47:32,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L3\bundle_inst01_L3.json
mackey_glass_tau30_n200,4q_2l_2t,2,3,4,2,0.2,0.019268069867485593,0.024691870522756124,-28.1491643562237,0.018957942152927745,0.02423644131099484,-27.843207429831285,0.11380531751174006,2025-09-20 14:47:37,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L3\bundle_inst02_L3.json
mackey_glass_tau30_n200,4q_2l_2t,3,3,4,2,0.2,0.019268069867485593,0.0241135807595491,-25.147878980033123,0.018957942152927745,0.023081820224766625,-21.75277273542062,0.14224498146374295,2025-09-20 14:47:41,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L3\bundle_inst03_L3.json
mackey_glass_tau30_n200,4q_2l_2t,4,3,4,2,0.2,0.019268069867485593,0.024368786602324385,-26.472380315820466,0.018957942152927745,0.02218746180021119,-17.035180407408834,0.131852747459098,2025-09-20 14:47:46,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L3\bundle_inst04_L3.json
mackey_glass_tau30_n200,4q_2l_2t,5,3,4,2,0.2,0.019268069867485593,0.023968581763822966,-24.395343844322337,0.018957942152927745,0.02325649501253976,-22.674153264826646,0.11179951203510172,2025-09-20 14:47:51,qae_runs\mackey_glass_tau30_n200\4q_2l_2t\L3\bundle_inst05_L3.json
